pair,open_date,close_date,open_rate,close_rate,amount,stake_amount,profit_abs,profit_ratio,exit_reason,trade_duration,is_short
ETH/USDT,2025-04-24 02:10:00+00:00,2025-04-24 02:40:00+00:00,1796.13,1788.72,0.1,179.613,-0.956091,-0.0053198693267545675,exit_signal,30,False
SOL/USDT,2025-04-24 15:10:00+00:00,2025-04-24 17:20:00+00:00,150.75,149.76,1.2,180.9,-1.40822891,-0.00777990314711118,exit_signal,130,False
SOL/USDT,2025-04-24 18:05:00+00:00,2025-04-24 20:05:00+00:00,151.04,151.55,1.2,181.248,0.3941352,0.0021732590742164874,roi,120,False
SOL/USDT,2025-04-24 20:10:00+00:00,2025-04-24 21:15:00+00:00,152.2,151.04,1.2,182.64,-1.6103328,-0.008811690646584453,exit_signal,65,False
SOL/USDT,2025-04-24 23:30:00+00:00,2025-04-25 01:05:00+00:00,152.0,152.94296577946767,1.2,182.4,0.8937006,0.004896736300325067,roi,95,False
ETH/USDT,2025-04-25 01:15:00+00:00,2025-04-25 01:50:00+00:00,1780.38,1766.66,0.1,178.038,-1.5848224,-0.00889625853331282,exit_signal,35,False
SOL/USDT,2025-04-25 01:10:00+00:00,2025-04-25 02:20:00+00:00,153.7,152.04,1.2,184.44,-2.2121328,-0.01198658813820361,exit_signal,70,False
SOL/USDT,2025-04-25 04:15:00+00:00,2025-04-25 04:35:00+00:00,152.25,151.14,1.2,182.7,-1.5504408,-0.008481177303470136,exit_signal,20,False
SOL/USDT,2025-04-25 06:55:00+00:00,2025-04-25 07:55:00+00:00,153.57,154.77,1.2,184.284,1.2179952,0.006605374536559565,roi,60,False
SOL/USDT,2025-04-25 08:00:00+00:00,2025-04-25 09:10:00+00:00,154.83,153.51,1.2,185.796,-1.8245808,-0.009814456220667908,exit_signal,70,False
SOL/USDT,2025-04-25 09:55:00+00:00,2025-04-25 10:40:00+00:00,154.12,153.05,1.2,184.944,-1.5051624,-0.00813359635399658,exit_signal,45,False
ETH/USDT,2025-04-25 10:00:00+00:00,2025-04-25 10:40:00+00:00,1787.51,1772.0,0.1,178.751,-1.7645706,-0.009865748960870136,exit_signal,40,False
SOL/USDT,2025-04-25 11:30:00+00:00,2025-04-25 12:10:00+00:00,154.18,155.90785271162696,1.2,185.016,1.85016,0.009994003597841295,roi,40,False
ETH/USDT,2025-04-25 11:20:00+00:00,2025-04-25 12:20:00+00:00,1783.8,1794.866199719832,0.1,178.38,0.8919,0.004997001798920648,roi,60,False
SOL/USDT,2025-04-25 12:15:00+00:00,2025-04-25 12:55:00+00:00,155.87,153.4,1.2,187.044,-3.1866744,-0.017026814770187092,exit_signal,40,False
ETH/USDT,2025-04-25 12:25:00+00:00,2025-04-25 12:55:00+00:00,1788.18,1772.4,0.1,178.818,-1.7916348,-0.01001331221533496,exit_signal,30,False
ETH/USDT,2025-04-25 14:15:00+00:00,2025-04-25 14:55:00+00:00,1788.3,1808.3409845907545,0.1,178.83,1.7883,0.009994003597841295,roi,40,False
BTC/USDT,2025-04-25 14:10:00+00:00,2025-04-25 15:10:00+00:00,94722.6,95310.23269961978,0.001,94.7226,0.473613,0.004997001798920648,roi,60,False
